6.747276673,0.7032967,20,,,,
9.494345686,0.7692308,25,,,,
8.119600286,0.71428573,30,,,,
10.26884058,0.6813187,35,,,,
7.476523122,0.74725276,40,,,,
6.537397044,0.72527474,45,,,,
4.232164828,0.7912088,50,,,,
8.810644705,0.6813187,55,,5.928939853,0.7692308,75
4.773449974,0.7912088,60,,,,
5.892811461,0.84615386,65,,,,
5.192030398,0.8021978,70,,,,
5.928939853,0.7692308,75,,,,
5.159223761,0.8021978,80,,,,
5.851700222,0.8131868,85,,,,
4.798552246,0.8021978,90,,,,
6.309052625,0.73626375,95,,,,
5.141621375,0.7912088,100,,,,
5.529751615,0.74725276,105,,,,
2.660437567,0.8791209,110,,,,
2.698024557,0.85714287,115,,,,
3.215292005,0.83516484,120,,,,
4.846999724,0.84615386,125,,,,
4.257271552,0.84615386,130,,,,
1.64333432,0.9230769,135,,,,
2.041664278,0.94505495,140,,,,
2.778167418,0.8791209,145,,,,
2.859907093,0.9230769,150,,,,
1.132631543,0.95604396,155,,,,
2.41014784,0.9010989,160,,,,
0.94552526,0.93406594,165,,,,
1.278562305,0.94505495,170,,,,
0.713463806,0.94505495,175,,,,
1.665762189,0.9120879,180,,,,
1.502911277,0.93406594,185,,,,
0.412992664,0.978022,190,,,,
0.806299299,0.94505495,195,,,,
0.685887413,0.978022,200,,,,
0.149075708,0.978022,205,,,,
